Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
01-09-2023,25.6,31.8,28.2,74.0,0.0,8.3,4.0,170.0,1.0,C 
02-09-2023,25.8,32.3,29.1,74.0,8888.0,8.5,5.0,110.0,3.0,E 
03-09-2023,27.0,33.6,29.1,74.0,0.2,7.7,5.0,30.0,2.0,NE
04-09-2023,25.2,33.6,28.3,67.0,0.0,6.7,5.0,40.0,2.0,C 
05-09-2023,25.4,32.8,28.2,68.0,0.0,7.4,7.0,100.0,3.0,C 
06-09-2023,25.6,33.2,28.9,73.0,0.0,9.3,5.0,40.0,2.0,C 
07-09-2023,26.2,32.0,28.8,73.0,0.0,9.2,5.0,10.0,2.0,N 
08-09-2023,26.9,33.1,29.1,77.0,0.0,9.3,7.0,10.0,3.0,N 
09-09-2023,27.1,32.5,29.1,77.0,0.0,8.7,6.0,20.0,2.0,C 
10-09-2023,26.6,32.5,28.9,71.0,0.0,8.2,6.0,10.0,2.0,N 
11-09-2023,26.8,33.5,29.8,72.0,0.0,7.7,6.0,40.0,2.0,NE
12-09-2023,26.8,34.8,29.8,70.0,0.0,9.1,7.0,40.0,3.0,N 
13-09-2023,26.8,32.4,29.2,74.0,0.0,9.5,5.0,10.0,2.0,N 
14-09-2023,26.6,33.4,28.9,68.0,0.0,8.3,6.0,10.0,2.0,N 
15-09-2023,26.6,34.0,29.5,66.0,0.0,9.0,9.0,10.0,3.0,N 
16-09-2023,26.8,33.0,29.1,72.0,,9.4,6.0,10.0,2.0,N 
17-09-2023,27.0,33.4,29.1,73.0,0.0,9.6,7.0,10.0,2.0,N 
18-09-2023,26.8,32.8,29.3,75.0,0.0,8.1,4.0,10.0,1.0,C 
19-09-2023,27.0,32.7,29.8,75.0,0.0,7.9,6.0,10.0,2.0,C 
20-09-2023,27.0,32.8,29.5,73.0,0.0,7.4,7.0,50.0,2.0,NE
21-09-2023,27.6,31.5,29.3,74.0,,7.7,6.0,50.0,2.0,NE
22-09-2023,26.8,32.6,29.0,70.0,2.5,7.0,5.0,50.0,2.0,E 
23-09-2023,26.8,32.4,29.1,68.0,0.0,8.9,5.0,50.0,2.0,C 
24-09-2023,27.0,32.2,29.3,76.0,,4.6,4.0,10.0,1.0,C 
25-09-2023,26.2,33.2,29.2,70.0,0.0,7.6,6.0,40.0,2.0,C 
26-09-2023,26.8,33.5,29.6,69.0,,9.4,7.0,10.0,2.0,C 
27-09-2023,26.6,35.0,29.5,66.0,0.0,9.1,10.0,70.0,3.0,E 
28-09-2023,27.0,35.2,30.3,61.0,0.0,8.5,11.0,80.0,4.0,E 
29-09-2023,27.4,36.8,30.8,70.0,,7.8,7.0,100.0,2.0,C 
30-09-2023,23.2,32.8,29.5,72.0,0.0,9.6,6.0,30.0,2.0,C 
01-10-2023,27.2,32.2,29.3,74.0,0.0,8.9,6.0,30.0,2.0,C 
02-10-2023,27.0,32.8,29.5,74.0,0.0,7.7,5.0,10.0,2.0,C 
03-10-2023,27.0,32.8,29.5,69.0,0.0,7.4,6.0,80.0,2.0,C 
04-10-2023,27.4,32.8,29.3,74.0,0.0,8.2,6.0,10.0,3.0,NE
05-10-2023,,33.0,29.8,75.0,,9.5,6.0,40.0,3.0,NE
06-10-2023,27.8,33.0,30.1,76.0,,9.6,5.0,30.0,1.0,C 
07-10-2023,27.8,33.6,30.1,78.0,,8.9,4.0,30.0,2.0,NE
